eco	name	pgn
B00	Barnes Defense	1. e4 f6
B00	Borg Defense	1. e4 g5
B00	Borg Defense: Borg Gambit	1. e4 g5 2. d4 Bg7
B00	Borg Defense: Troon Gambit	1. e4 g5 2. d4 h6 3. h4 g4
B00	Borg Defense: Zilbermints Gambit	1. e4 g5 2. d4 e5
B00	Carr Defense	1. e4 h6
B00	Carr Defense: Zilbermints Gambit	1. e4 h6 2. d4 e5
B00	Duras Gambit	1. e4 f5
B00	Fried Fox Defense	1. e4 f6 2. d4 Kf7
B00	Goldsmith Defense	1. e4 h5
B00	Goldsmith Defense: Picklepuss Defense	1. e4 h5 2. d4 Nf6
B00	Guatemala Defense	1. e4 b6 2. d4 Ba6
B00	Hippopotamus Defense	1. e4 Nh6
B00	Hippopotamus Defense	1. e4 Nh6 2. d4 g6 3. c4 f6
B00	King's Pawn Game	1. e4
B00	Lemming Defense	1. e4 Na6
B00	Lion Defense: Lion's Jaw	1. e4 d6 2. d4 Nf6 3. f3
B00	Nimzowitsch Defense	1. e4 Nc6
B00	Nimzowitsch Defense	1. e4 Nc6 2. d4
B00	Nimzowitsch Defense: Breyer Variation	1. e4 Nc6 2. Nc3 Nf6 3. d4 e5
B00	Nimzowitsch Defense: Colorado Countergambit	1. e4 Nc6 2. Nf3 f5
B00	Nimzowitsch Defense: Colorado Countergambit Accepted	1. e4 Nc6 2. Nf3 f5 3. exf5
B00	Nimzowitsch Defense: Declined Variation	1. e4 Nc6 2. Nf3
B00	Nimzowitsch Defense: El Columpio Defense	1. e4 Nc6 2. Nf3 Nf6 3. e5 Ng4
B00	Nimzowitsch Defense: El Columpio Defense, El Columpio Gambit	1. e4 Nc6 2. Nf3 Nf6 3. e5 Ng4 4. d4 d6 5. h3 Nh6 6. e6
B00	Nimzowitsch Defense: El Columpio Defense, Exchange Variation	1. e4 Nc6 2. Nf3 Nf6 3. e5 Ng4 4. d4 d6 5. h3 Nh6 6. exd6
B00	Nimzowitsch Defense: El Columpio Defense, Pin Variation	1. e4 Nc6 2. Nf3 Nf6 3. e5 Ng4 4. d4 d6 5. h3 Nh6 6. Bb5
B00	Nimzowitsch Defense: Franco-Nimzowitsch Variation	1. e4 Nc6 2. Nf3 e6
B00	Nimzowitsch Defense: French Connection	1. e4 Nc6 2. Nc3 e6
B00	Nimzowitsch Defense: Hornung Gambit	1. e4 Nc6 2. d4 d5 3. Be3
B00	Nimzowitsch Defense: Kennedy Variation	1. e4 Nc6 2. d4 e5
B00	Nimzowitsch Defense: Kennedy Variation, Bielefelder Gambit	1. e4 Nc6 2. d4 e5 3. dxe5 Bc5
B00	Nimzowitsch Defense: Kennedy Variation, Hammer Gambit	1. e4 Nc6 2. d4 e5 3. dxe5 f6
B00	Nimzowitsch Defense: Kennedy Variation, Herford Gambit	1. e4 Nc6 2. d4 e5 3. dxe5 Qh4
B00	Nimzowitsch Defense: Kennedy Variation, Keres Attack	1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. Nc3
B00	Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation	1. e4 Nc6 2. d4 e5 3. d5
B00	Nimzowitsch Defense: Kennedy Variation, Main Line	1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. f4 Ng6
B00	Nimzowitsch Defense: Kennedy Variation, Paulsen Attack	1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. Nf3
B00	Nimzowitsch Defense: Kennedy Variation, Riemann Defense	1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. f4 Nc6
B00	Nimzowitsch Defense: Kennedy Variation, de Smet Gambit	1. e4 Nc6 2. d4 e5 3. dxe5 d6
B00	Nimzowitsch Defense: Mikenas Variation	1. e4 Nc6 2. d4 d6
B00	Nimzowitsch Defense: Neo-Mongoloid Defense	1. e4 Nc6 2. d4 f6
B00	Nimzowitsch Defense: Pirc Connection	1. e4 Nc6 2. Nc3 g6
B00	Nimzowitsch Defense: Pseudo-Spanish Variation	1. e4 Nc6 2. Bb5
B00	Nimzowitsch Defense: Scandinavian Variation	1. e4 Nc6 2. d4 d5
B00	Nimzowitsch Defense: Scandinavian Variation, Aachen Gambit	1. e4 Nc6 2. d4 d5 3. exd5 Nb4
B00	Nimzowitsch Defense: Scandinavian Variation, Advance Variation	1. e4 Nc6 2. d4 d5 3. e5
B00	Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation	1. e4 Nc6 2. d4 d5 3. Nc3
B00	Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation	1. e4 Nc6 2. d4 d5 3. Nc3 dxe4
B00	Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Brandics Gambit	1. e4 Nc6 2. d4 d5 3. Nc3 a6
B00	Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Erben Gambit	1. e4 Nc6 2. d4 d5 3. Nc3 g6
B00	Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Heinola-Deppe Gambit	1. e4 Nc6 2. d4 d5 3. Nc3 e5
B00	Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Nimzowitsch Gambit	1. e4 Nc6 2. d4 d5 3. Nc3 dxe4 4. d5 Ne5
B00	Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Richter Gambit	1. e4 Nc6 2. d4 d5 3. Nc3 dxe4 4. d5 Nb8 5. f3
B00	Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Vehre Variation	1. e4 Nc6 2. d4 d5 3. Nc3 Nf6
B00	Nimzowitsch Defense: Scandinavian Variation, Exchange Variation	1. e4 Nc6 2. d4 d5 3. exd5 Qxd5
B00	Nimzowitsch Defense: Scandinavian Variation, Exchange Variation, Marshall Gambit	1. e4 Nc6 2. d4 d5 3. exd5 Qxd5 4. Nc3
B00	Nimzowitsch Defense: Wheeler Gambit	1. e4 Nc6 2. b4
B00	Nimzowitsch Defense: Williams Variation	1. e4 Nc6 2. Nf3 d6
B00	Nimzowitsch Defense: Woodchuck Variation	1. e4 Nc6 2. d4 a6
B00	Owen Defense	1. e4 b6
B00	Owen Defense: Hekili-Loa Gambit	1. e4 b6 2. d4 c5 3. dxc5 Nc6
B00	Owen Defense: Matovinsky Gambit	1. e4 b6 2. d4 Bb7 3. Bd3 f5 4. exf5 Bxg2 5. Qh5+ g6
B00	Owen Defense: Naselwaus Gambit	1. e4 b6 2. d4 Bb7 3. Bg5
B00	Owen Defense: Smith Gambit	1. e4 b6 2. d4 Bb7 3. Nf3
B00	Owen Defense: Unicorn Variation	1. e4 f6 2. d4 b6 3. c4 Bb7
B00	Owen Defense: Wind Gambit	1. e4 b6 2. d4 Bb7 3. f3 e5
B00	Pirc Defense	1. e4 d6
B00	Pirc Defense	1. e4 d6 2. d4
B00	Pirc Defense	1. e4 d6 2. d4 Nf6
B00	Pirc Defense: Roscher Gambit	1. e4 d6 2. d4 Nf6 3. Nf3
B00	Rat Defense: Antal Defense	1. e4 d6 2. d4 Nd7
B00	Rat Defense: Fuller Gambit	1. e4 d6 2. f4 d5 3. exd5 Nf6
B00	Rat Defense: Harmonist	1. e4 d6 2. f4
B00	Rat Defense: Petruccioli Attack	1. e4 d6 2. h4
B00	Rat Defense: Spike Attack	1. e4 d6 2. g4
B00	St. George Defense	1. e4 a6
B00	St. George Defense: Polish Variation	1. e4 a6 2. d4 b5 3. Nf3 Bb7 4. Bd3 e6
B00	St. George Defense: San Jorge Variation	1. e4 a6 2. d4 b5 3. Nf3 Bb7 4. Bd3 d6 5. O-O g6 6. c3 Bg7
B00	St. George Defense: Zilbermints Gambit	1. e4 a6 2. d4 e5
B00	Van Geet Opening: Berlin Gambit	1. e4 Nc6 2. d4 d5 3. Nc3 dxe4 4. d5
B00	Ware Defense	1. e4 a5
B00	Ware Defense: Snagglepuss Defense	1. e4 a5 2. d4 Nc6
B01	Scandinavian Defense	1. e4 d5
B01	Scandinavian Defense	1. e4 d5 2. b3
B01	Scandinavian Defense: Anderssen Counterattack	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 e5
B01	Scandinavian Defense: Anderssen Counterattack, Collijn Variation	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 e5 5. Nf3 Bg4
B01	Scandinavian Defense: Anderssen Counterattack, Goteborg System	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 e5 5. Nf3
B01	Scandinavian Defense: Anderssen Counterattack, Orthodox Attack	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 e5 5. dxe5 Nc6 6. Nf3 Bb4 7. Bd2
B01	Scandinavian Defense: Blackburne Gambit	1. e4 d5 2. exd5 c6 3. dxc6 Nxc6
B01	Scandinavian Defense: Blackburne-Kloosterboer Gambit	1. e4 d5 2. exd5 c6
