eco	name	pgn
C00	French Defense	1. e4 e6
C00	French Defense	1. e4 e6 2. d4 d5
C00	French Defense: Alapin Gambit	1. e4 e6 2. d4 d5 3. Be3
C00	French Defense: Baeuerle Gambit	1. e4 e6 2. d4 b5
C00	French Defense: Banzai-Leong Gambit	1. e4 e6 2. b4
C00	French Defense: Banzai-Leong Gambit, Pinova Gambit	1. e4 e6 2. b4 Bxb4 3. e5
C00	French Defense: Bird Invitation	1. e4 e6 2. Bb5
C00	French Defense: Carlson Gambit	1. e4 e6 2. d4 d5 3. Nf3 dxe4 4. Ne5
C00	French Defense: Chigorin Variation	1. e4 e6 2. Qe2
C00	French Defense: Diemer-Duhm Gambit	1. e4 e6 2. d4 d5 3. c4
C00	French Defense: Diemer-Duhm Gambit Accepted	1. e4 e6 2. d4 d5 3. c4 dxe4
C00	French Defense: Franco-Hiva Gambit	1. e4 e6 2. d4 f5
C00	French Defense: Franco-Hiva Gambit Accepted	1. e4 e6 2. d4 f5 3. exf5
C00	French Defense: Franco-Sicilian Defense	1. e4 e6 2. d4 c5
C00	French Defense: Hoffmann Gambit	1. e4 e6 2. d4 d5 3. Qe2 e5 4. f4 exf4
C00	French Defense: Horwitz Attack	1. e4 e6 2. b3
C00	French Defense: Horwitz Attack, Papa-Ticulat Gambit	1. e4 e6 2. b3 d5 3. Bb2
C00	French Defense: King's Indian Attack	1. e4 e6 2. d3
C00	French Defense: King's Indian Attack, Franco-Hiva Gambit	1. e4 e6 2. d3 f5
C00	French Defense: Knight Variation	1. e4 e6 2. Nf3
C00	French Defense: Knight Variation, Franco-Hiva Gambit	1. e4 e6 2. Nf3 f5
C00	French Defense: La Bourdonnais Variation	1. e4 e6 2. f4
C00	French Defense: La Bourdonnais Variation, Reuter Gambit	1. e4 e6 2. f4 d5 3. Nf3 dxe4
C00	French Defense: Mediterranean Defense	1. e4 e6 2. d4 Nf6
C00	French Defense: Morphy Gambit	1. e4 e6 2. d4 d5 3. Nh3
C00	French Defense: Normal Variation	1. e4 e6 2. d4
C00	French Defense: Orthoschnapp Gambit	1. e4 e6 2. c4 d5 3. cxd5 exd5 4. Qb3
C00	French Defense: Pelikan Variation	1. e4 e6 2. Nc3 d5 3. f4
C00	French Defense: Perseus Gambit	1. e4 e6 2. d4 d5 3. Nf3
C00	French Defense: Queen's Knight	1. e4 e6 2. Nc3
C00	French Defense: Reversed Philidor Formation	1. e4 e6 2. d3 d5 3. Nd2 Nf6 4. Ngf3 Nc6 5. Be2
C00	French Defense: Réti-Spielmann Attack	1. e4 e6 2. g3
C00	French Defense: Schlechter Variation	1. e4 e6 2. d4 d5 3. Bd3
